participant,id,context,text
P3,1,P3 Speaker:R,R: So let's go back. When you say visual research what do you mean by visual research?
P4,2,P4 Speaker:A,"A: Um. I'm going to put this in really simple terms and then you are going to say, thanks for that! So as a lighting designer, lighting is really really difficult for people to talk about you know because we are inundated with it. and so I could say you're going to have a 30 degree barrel and we're going to put rosco 02 out there and it's going to be 45 degrees up and out most directors also go I don't know. Most directors also go I don't have a clue what you're talking about. Um and so as a designer that's not a particularly useful way to communicate and the director but if I can show them a picture that's close, something that even just gets the mood across. That's how I communicate as a lighting designer. And and mostly it's about mood rather than specific angles, mood and color. Sometimes you get really great angles but in the theater we are a bit limited as to where the light coming from the amount of bounce and things that you have. And most designers are doing visual research in this way. Mood imagery that may or may not have anything to do with the play itself except, you know, it's a dark and stormy night."
P5,3,P5 Speaker:R,R: It sound's really hard to me [A laughing] to do that
P6,4,P6 Speaker:R,R: What does your meeting look like. It sounded like maybe part of the reason you have to communicate in this medium is so that people who aren't as familiar with lighting design can know what you're talking about.
P7,5,P7 Speaker:A,"A: Typically in a production, we have production meetings with"
P8,6,P8 Speaker:A,"A: And, so, we are all very much specialists which means going into that meeting you do have to sort of communicate where you are going to go without having to be super specific, because no one else in that room is a lighting designer."
P9,7,P9 Speaker:R,"R: I imagine there's a sense of trust there, between you guys. Okay, I understand this direction I think I know what you're talking about, I like this picture, and that's good enough for me right now."
P10,8,P10 Speaker:A,"A: Yeah, I mean, outside of the university setting. Someone has looked through my portfolio"
P11,9,"P11 Speaker:and will know the quality of that work. They aren't going to know necessarily that I showed that picture [points to picture] and got that image on stage. But, You know you look at the overall end product in quality and know you clearly know what you are doing and have lit. In the outside world that's how you get hired. In education, you sort of work with what you get and hopefully these are all you know good colleges that are are working at the same time.","and will know the quality of that work. They aren't going to know necessarily that I showed that picture [points to picture] and got that image on stage. But, You know you look at the overall end product in quality and know you clearly know what you are doing and have lit. In the outside world that's how you get hired. In education, you sort of work with what you get and hopefully these are all you know good colleges that are are working at the same time."
P12,10,P12 Speaker:A,"A: And over time, because we tend to have the same design team, you know you you develop a shorthand. And so, you know, there's no question to me, working with certain directors that if I show them an image that may not have great specific light detail in it, that I can make that mood happen on stage. So there is a lot of trust there.[laughs]"
P13,11,P13 Speaker:R,"R: So as you're using Pinterest in what context... In what context might you use it, locally? Sorry, let's get back to the meeting. What is that space?"
P14,12,P14 Speaker:A,"A: Traditionally we are in a classroom space that has a projector. [12:45] Um, so we have access to computers and a projection screen. We as a department are trying to go much greener in general, and not have so much waste.  It has been both beneficial and troubling at times. You see I have all of these binders. and those are all different productions. Most of them have a big chunk of research in them just visuals that I had to design and present in a production meeting. I have to find a way to ultimately save that information if I'm ever going to go back to that show. Now I just have DVDs and save those images not on Pinterest but, Pinterest kind of falls apart for me, because there's not an easy way to save that information."
P15,13,P15 Speaker:R,"R: As someone who tries to design things that are easy that made me cry a little on the inside. [A laughs, says I understand.] Right click, save."
P16,14,P16 Speaker:R,"R: So those differences are really interesting I can see you have 20 or so binders, you have the processes logged. We talked about the painful process of saving the DVDs. Have you ever gone back and look at one of the images on the DVD?"
P17,15,P17 Speaker:A,"A: I have, mostly for teaching purposes. I have yet to redo a show. But sometimes, when looking for inspiration for a show, and I know that have this picture somewhere that I put it in a binder somewhere. So more often than not, I'm using them to talk through my process to my classes. Also, all of the information saved on DVDs is also saved on my computer somewhere. Like I haven't just deleted it. I have gone through that information. I know I have a really great picture of this thing somewhere."
P18,16,P18 Speaker:R,R: What about your books? How would you.... how do you utilize the tangible artifacts and in what context would you? When you are developing ideas? or ......[16:00] I know I have this idea in these books somewhere.
